F,S,V,VtoINF
25, 2, 24.9881, 11.0181
25, 2.2, 25.0303, 11.3189
25, 2.42, 25.0808, 11.6497
25, 2.662, 25.1411, 12.0137
25, 2.9282, 25.2143, 12.414
25, 3.22102, 25.3021, 12.8544
25, 3.54312, 25.4079, 13.3388
25, 3.89743, 25.5357, 13.8716
25, 4.28718, 25.6897, 14.4577
25, 4.7159, 25.8755, 15.1025
25, 5.18748, 26.0991, 15.8117
25, 5.70623, 26.3684, 16.5918
25, 6.27686, 26.6918, 17.45
25, 6.90454, 27.0794, 18.3939
25, 7.595, 27.5428, 19.4323
25, 8.3545, 28.095, 20.5745
25, 9.18995, 28.7512, 21.8309
25, 10.1089, 29.5281, 23.213
25, 11.1198, 30.4439, 24.7332
25, 12.2318, 31.519, 26.4055
25, 13.455, 32.7752, 28.245
25, 14.8005, 34.2359, 30.2685
25, 16.2805, 35.9264, 32.4943
25, 17.9086, 37.8727, 34.9427
25, 19.6995, 40.1023, 37.6359
25, 21.6694, 42.6437, 40.5985
25, 23.8364, 45.5266, 43.8573
25, 26.22, 48.7815, 47.442
25, 28.842, 52.4399, 51.3852
25, 31.7262, 56.5351, 55.7227
25, 34.8988, 61.1013, 60.4939
25, 38.3887, 66.1746, 65.7423
25, 42.2276, 71.7921, 71.5154
25, 46.4503, 77.9919, 77.866
