F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.4472912468, 11.0181047438
35.0000000000, 500, 500, 2.1000000000, 34.4538169990, 11.1684925551
35.0000000000, 500, 500, 2.2050000000, 34.4606690389, 11.3263997570
35.0000000000, 500, 500, 2.3152500000, 34.4678636808, 11.4922023190
35.0000000000, 500, 500, 2.4310125000, 34.4761986265, 11.6662950091
35.0000000000, 500, 500, 2.5525631250, 34.4871900976, 11.8490923337
35.0000000000, 500, 500, 2.6801912813, 34.4987311423, 12.0410295245
35.0000000000, 500, 500, 2.8142008453, 34.5108492392, 12.2425635749
35.0000000000, 500, 500, 2.9549108876, 34.5235732409, 12.4541743278
35.0000000000, 500, 500, 3.1026564320, 34.5398335267, 12.6763656183
35.0000000000, 500, 500, 3.2577892536, 34.5582443010, 12.9096664734
35.0000000000, 500, 500, 3.4206787162, 34.5775756139, 13.1546323712
35.0000000000, 500, 500, 3.5917126520, 34.5978734924, 13.4118465639
35.0000000000, 500, 500, 3.7712982846, 34.6244692639, 13.6819214662
35.0000000000, 500, 500, 3.9598631989, 34.6526631930, 13.9655001137
35.0000000000, 500, 500, 4.1578563588, 34.6822668185, 14.2632576935
35.0000000000, 500, 500, 4.3657491768, 34.7188143409, 14.5759031523
35.0000000000, 500, 500, 4.5840366356, 34.7586479129, 14.9041808841
35.0000000000, 500, 500, 4.8132384674, 34.8009319248, 15.2488725024
35.0000000000, 500, 500, 5.0539003908, 34.8531882541, 15.6107987017
35.0000000000, 500, 500, 5.3065954103, 34.9080573999, 15.9908212109
35.0000000000, 500, 500, 5.5719251808, 34.9718507318, 16.3898448456
35.0000000000, 500, 500, 5.8505214398, 35.0423595307, 16.8088196620
35.0000000000, 500, 500, 6.1430475118, 35.1216713248, 17.2487432192
35.0000000000, 500, 500, 6.4501998874, 35.2107392705, 17.7106629544
35.0000000000, 500, 500, 6.7727098818, 35.3107414332, 18.1956786762
35.0000000000, 500, 500, 7.1113453759, 35.4216459078, 18.7049451842
35.0000000000, 500, 500, 7.4669126447, 35.5482061916, 19.2396750175
35.0000000000, 500, 500, 7.8402582769, 35.6861502439, 19.8011413425
35.0000000000, 500, 500, 8.2322711908, 35.8442800658, 20.3906809838
35.0000000000, 500, 500, 8.6438847503, 36.0195605015, 21.0096976071
35.0000000000, 500, 500, 9.0760789878, 36.2131435382, 21.6596650616
35.0000000000, 500, 500, 9.5298829372, 36.4304779256, 22.3421308888
35.0000000000, 500, 500, 10.0063770841, 36.6738017542, 23.0587200074
35.0000000000, 500, 500, 10.5066959383, 36.9432767492, 23.8111385819
35.0000000000, 500, 500, 11.0320307352, 37.2420356211, 24.6011780852
35.0000000000, 500, 500, 11.5836322719, 37.5732998481, 25.4307195636
35.0000000000, 500, 500, 12.1628138855, 37.9403653103, 26.3017381159
35.0000000000, 500, 500, 12.7709545798, 38.3465920172, 27.2163075958
35.0000000000, 500, 500, 13.4095023088, 38.7953973896, 28.1766055498
35.0000000000, 500, 500, 14.0799774242, 39.2902526120, 29.1849184014
35.0000000000, 500, 500, 14.7839762955, 39.8346816293, 30.2436468956
35.0000000000, 500, 500, 15.5231751102, 40.4322624150, 31.3553118145
35.0000000000, 500, 500, 16.2993338657, 41.0893942998, 32.5225599794
35.0000000000, 500, 500, 17.1143005590, 41.8099198916, 33.7481705525
35.0000000000, 500, 500, 17.9700155870, 42.5953330511, 35.0350616543
35.0000000000, 500, 500, 18.8685163663, 43.4558546291, 36.3862973111
35.0000000000, 500, 500, 19.8119421847, 44.3904119603, 37.8050947508
35.0000000000, 500, 500, 20.8025392939, 45.4099351029, 39.2948320625
35.0000000000, 500, 500, 21.8426662586, 46.5155040204, 40.8590562398
35.0000000000, 500, 500, 22.9347995715, 47.7131747582, 42.5014916259
35.0000000000, 500, 500, 24.0815395501, 49.0089157889, 44.2260487813
35.0000000000, 500, 500, 25.2856165276, 50.4084037024, 46.0368337945
35.0000000000, 500, 500, 26.5498973540, 51.9170874468, 47.9381580584
35.0000000000, 500, 500, 27.8773922217, 53.5402533009, 49.9345485355
35.0000000000, 500, 500, 29.2712618327, 55.2830883839, 52.0307585364
35.0000000000, 500, 500, 30.7348249244, 57.1520955434, 54.2317790373
35.0000000000, 500, 500, 32.2715661706, 59.1526980421, 56.5428505633
35.0000000000, 500, 500, 33.8851444791, 61.2909014756, 58.9694756656
35.0000000000, 500, 500, 35.5794017031, 63.5720776565, 61.5174320231
35.0000000000, 500, 500, 37.3583717882, 66.0025277231, 64.1927861984
35.0000000000, 500, 500, 39.2262903777, 68.5883191920, 67.0019080824
35.0000000000, 500, 500, 41.1876048965, 71.3354468127, 69.9514860607
35.0000000000, 500, 500, 43.2469851414, 74.2501431321, 73.0485429378
35.0000000000, 500, 500, 45.4093343984, 77.3394429914, 76.3004526589
35.0000000000, 500, 500, 47.6798011184, 80.6096091160, 79.7149578660
35.0000000000, 500, 500, 50.0637911743, 84.0677748967, 83.3001883334
35.0000000000, 500, 500, 52.5669807330, 87.7213104273, 87.0646803242
35.0000000000, 500, 500, 55.1953297696, 91.5778263757, 91.0173969146
35.0000000000, 500, 500, 57.9550962581, 95.6457454129, 95.1677493344
