F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 37.9999946188, 0.6468350565
35.0000000000, 500, 500, 2.2000000000, 37.9999946188, 0.6601843644
35.0000000000, 500, 500, 2.4200000000, 37.9999946188, 0.6748686032
35.0000000000, 500, 500, 2.6620000000, 37.9999946188, 0.6910212659
35.0000000000, 500, 500, 2.9282000000, 37.9999946188, 0.7087891948
35.0000000000, 500, 500, 3.2210200000, 37.9999946188, 0.7283339166
35.0000000000, 500, 500, 3.5431220000, 37.9999946188, 0.7498331106
35.0000000000, 500, 500, 3.8974342000, 37.9999946188, 0.7734822240
35.0000000000, 500, 500, 4.2871776200, 37.9999946188, 0.7994962488
35.0000000000, 500, 500, 4.7158953820, 37.9999946188, 0.8281116760
35.0000000000, 500, 500, 5.1874849202, 37.9999946188, 0.8595886459
35.0000000000, 500, 500, 5.7062334122, 37.9999946188, 0.8942133129
35.0000000000, 500, 500, 6.2768567534, 37.9999946188, 0.9323004465
35.0000000000, 500, 500, 6.9045424288, 37.9999946188, 0.9741962935
35.0000000000, 500, 500, 7.5949966717, 37.9999946188, 1.0202817252
35.0000000000, 500, 500, 8.3544963388, 37.9999946188, 1.0709757000
35.0000000000, 500, 500, 9.1899459727, 37.9999946188, 1.1267390724
35.0000000000, 500, 500, 10.1089405700, 37.9999946188, 1.1880787819
35.0000000000, 500, 500, 11.1198346270, 37.9999946188, 1.2555524625
35.0000000000, 500, 500, 12.2318180897, 37.9999946188, 1.3297735110
35.0000000000, 500, 500, 13.4549998987, 37.9999946188, 1.4114166645
35.0000000000, 500, 500, 14.8004998885, 37.9999946188, 1.5012241333
35.0000000000, 500, 500, 16.2805498774, 37.9999946188, 1.6000123489
35.0000000000, 500, 500, 17.9086048651, 37.9999959762, 1.7086793862
35.0000000000, 500, 500, 19.6994653516, 39.3989302879, 1.8282131271
35.0000000000, 500, 500, 21.6694118868, 43.3388233136, 1.9597002422
35.0000000000, 500, 500, 23.8363530755, 47.6727056418, 2.1043360687
35.0000000000, 500, 500, 26.2199883830, 52.4399762029, 2.2634354779
35.0000000000, 500, 500, 28.8419872213, 57.6839738200, 2.4384448281
35.0000000000, 500, 500, 31.7261859434, 63.4523711989, 2.6309551132
35.0000000000, 500, 500, 34.8988045378, 69.7976083157, 2.8427164269
35.0000000000, 500, 500, 38.3886849916, 76.7773691441, 3.0756538719
35.0000000000, 500, 500, 42.2275534907, 84.4551060554, 3.3318850614
35.0000000000, 500, 500, 46.4503088398, 92.9006166579, 3.6137393699
35.0000000000, 500, 500, 51.0953397238, 102.1906783205, 3.9237791092
35.0000000000, 500, 500, 56.2048736961, 112.4097461495, 4.2648228225
35.0000000000, 500, 500, 61.8253610657, 123.6507207613, 4.6399709071
35.0000000000, 500, 500, 68.0078971723, 136.0157928343, 5.0526338002
35.0000000000, 500, 500, 74.8086868895, 149.6173721146, 5.5065629825
35.0000000000, 500, 500, 82.2895555785, 164.5791093229, 6.0058850831
35.0000000000, 500, 500, 90.5185111364, 181.0370202521, 6.5551393937
35.0000000000, 500, 500, 99.5703622500, 199.1407222742, 7.1593191355
35.0000000000, 500, 500, 109.5273984750, 219.0547944985, 7.8239168513
35.0000000000, 500, 500, 120.4801383225, 240.9602739453, 8.5549743388
35.0000000000, 500, 500, 132.5281521547, 265.0563013367, 9.3591375750
35.0000000000, 500, 500, 145.7809673702, -6479.1990262233, 10.2437171349
35.0000000000, 500, 500, 160.3590641072, -20512.4424517815, 11.2167546507
35.0000000000, 500, 500, 176.3949705179, -35949.0102198956, 12.2870959181
35.0000000000, 500, 500, 194.0344675697, -52929.2347648211, 13.4644713122
35.0000000000, 500, 500, 213.4379143267, -71607.4817642391, 14.7595842458
35.0000000000, 500, 500, 234.7817057594, -92153.5534635989, 16.1842084727
35.0000000000, 500, 500, 258.2598763353, -114754.2323328947, 17.7512951223
35.0000000000, 500, 500, 284.0858639689, -139614.9790891201, 19.4750904369
