F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.3794722520, 11.0181047438
35.0000000000, 500, 500, 2.2000000000, 34.3794722520, 11.3188803665
35.0000000000, 500, 500, 2.4200000000, 34.3794722520, 11.6497335514
35.0000000000, 500, 500, 2.6620000000, 34.3794722520, 12.0136720548
35.0000000000, 500, 500, 2.9282000000, 34.3794722520, 12.4140044086
35.0000000000, 500, 500, 3.2210200000, 34.3794722520, 12.8543699977
35.0000000000, 500, 500, 3.5431220000, 34.3794722520, 13.3387721458
35.0000000000, 500, 500, 3.8974342000, 34.3794722520, 13.8716145086
35.0000000000, 500, 500, 4.2871776200, 34.3794722520, 14.4577411078
35.0000000000, 500, 500, 4.7158953820, 34.3794722520, 15.1024803668
35.0000000000, 500, 500, 5.1874849202, 34.3794722520, 15.8116935518
35.0000000000, 500, 500, 5.7062334122, 34.3794722520, 16.5918280553
35.0000000000, 500, 500, 6.2768567534, 34.3794722520, 17.4499760091
35.0000000000, 500, 500, 6.9045424288, 34.3794722520, 18.3939387582
35.0000000000, 500, 500, 7.5949966717, 34.3794722520, 19.4322977824
35.0000000000, 500, 500, 8.3544963388, 34.3794722521, 20.5744927089
35.0000000000, 500, 500, 9.1899459727, 34.3794722534, 21.8309071280
35.0000000000, 500, 500, 10.1089405700, 34.3794722909, 23.2129629891
35.0000000000, 500, 500, 11.1198346270, 34.3794732629, 24.7332244363
35.0000000000, 500, 500, 12.2318180897, 34.3795018736, 26.4055120282
35.0000000000, 500, 500, 13.4549998987, 34.3802973184, 28.2450283793
35.0000000000, 500, 500, 14.8004998885, 34.3956022936, 30.2684963655
35.0000000000, 500, 500, 16.2805498774, 34.5743536185, 32.4943111504
35.0000000000, 500, 500, 17.9086048651, 35.5380407575, 34.9427074137
35.0000000000, 500, 500, 19.6994653516, 37.7734476154, 37.6359433034
35.0000000000, 500, 500, 21.6694118868, 40.7004619987, 40.5985027820
35.0000000000, 500, 500, 23.8363530755, 43.9588008699, 43.8573182084
35.0000000000, 500, 500, 26.2199883830, 47.5434968668, 47.4420151776
35.0000000000, 500, 500, 28.8419872213, 51.4866635022, 51.3851818436
35.0000000000, 500, 500, 31.7261859434, 55.8241468013, 55.7226651763
35.0000000000, 500, 500, 34.8988045378, 60.5953784304, 60.4938968422
35.0000000000, 500, 500, 38.3886849916, 65.8437332224, 65.7422516747
35.0000000000, 500, 500, 42.2275534907, 71.6169234935, 71.5154419904
35.0000000000, 500, 500, 46.4503088398, 77.9674327918, 77.8659513377
35.0000000000, 500, 500, 51.0953397238, 84.9529930199, 84.8515116198
35.0000000000, 500, 500, 56.2048736961, 92.6371092708, 92.5356279300
35.0000000000, 500, 500, 61.8253610657, 101.0896371468, 100.9881558713
35.0000000000, 500, 500, 68.0078971723, 110.3874178104, 110.2859366067
35.0000000000, 500, 500, 74.8086868895, 120.6149765403, 120.5134954157
35.0000000000, 500, 500, 82.2895555785, 131.8652911432, 131.7638101055
35.0000000000, 500, 500, 90.5185111364, 144.2406372065, 144.1391562644
35.0000000000, 500, 500, 99.5703622500, 157.8535178761, 157.7520370391
35.0000000000, 500, 500, 109.5273984750, 172.8276866126, 172.7262058913
35.0000000000, 500, 500, 120.4801383225, 189.2992722227, 189.1977916287
35.0000000000, 500, 500, 132.5281521547, 207.4180228525, 207.3165359398
