F,I,J,S,V,VtoINF
35.0000000000, 500, 500, 2.0000000000, 34.7079697130, 17.8485645059
35.0000000000, 500, 500, 2.2000000000, 34.7360812688, 18.0605175049
35.0000000000, 500, 500, 2.4200000000, 34.7689479934, 18.2936658037
35.0000000000, 500, 500, 2.6620000000, 34.8069742280, 18.5501289325
35.0000000000, 500, 500, 2.9282000000, 34.8512178787, 18.8322383741
35.0000000000, 500, 500, 3.2210200000, 34.9028784075, 19.1425587599
35.0000000000, 500, 500, 3.5431220000, 34.9633109174, 19.4839111843
35.0000000000, 500, 500, 3.8974342000, 35.0340870064, 19.8593988511
35.0000000000, 500, 500, 4.2871776200, 35.1180035756, 20.2724352845
35.0000000000, 500, 500, 4.7158953820, 35.2162747053, 20.7267753614
35.0000000000, 500, 500, 5.1874849202, 35.3330142914, 21.2265494459
35.0000000000, 500, 500, 5.7062334122, 35.4708957802, 21.7763009389
35.0000000000, 500, 500, 6.2768567534, 35.6342734683, 22.3810275811
35.0000000000, 500, 500, 6.9045424288, 35.8279926040, 23.0462268876
35.0000000000, 500, 500, 7.5949966717, 36.0583126427, 23.7779461248
35.0000000000, 500, 500, 8.3544963388, 36.3315543759, 24.5828372856
35.0000000000, 500, 500, 9.1899459727, 36.6564500470, 25.4682175625
35.0000000000, 500, 500, 10.1089405700, 37.0424856767, 26.4421358672
35.0000000000, 500, 500, 11.1198346270, 37.4999300264, 27.5134460023
35.0000000000, 500, 500, 12.2318180897, 38.0423149285, 28.6918871509
35.0000000000, 500, 500, 13.4549998987, 38.6841591765, 29.9881724143
35.0000000000, 500, 500, 14.8004998885, 39.4413688565, 31.4140862042
35.0000000000, 500, 500, 16.2805498774, 40.3329891142, 32.9825913729
35.0000000000, 500, 500, 17.9086048651, 41.3794419816, 34.7079470586
35.0000000000, 500, 500, 19.6994653516, 42.6035055329, 36.6058383129
35.0000000000, 500, 500, 21.6694118868, 44.0301474355, 38.6935186925
35.0000000000, 500, 500, 23.8363530755, 45.6862715196, 40.9899671102
35.0000000000, 500, 500, 26.2199883830, 47.6002854710, 43.5160603695
35.0000000000, 500, 500, 28.8419872213, 49.8026120236, 46.2947629549
35.0000000000, 500, 500, 31.7261859434, 52.3250468197, 49.3513357987
35.0000000000, 500, 500, 34.8988045378, 55.2009781869, 52.7135659270
35.0000000000, 500, 500, 38.3886849916, 58.4647143913, 56.4120190681
35.0000000000, 500, 500, 42.2275534907, 62.1523709965, 60.4803175233
35.0000000000, 500, 500, 46.4503088398, 66.3012814272, 64.9554458240
35.0000000000, 500, 500, 51.0953397238, 70.9508569273, 69.8780869547
35.0000000000, 500, 500, 56.2048736961, 76.1427688436, 75.2929921986
35.0000000000, 500, 500, 61.8253610657, 81.9218778513, 81.2493879668
35.0000000000, 500, 500, 68.0078971723, 88.3368393647, 87.8014233119
35.0000000000, 500, 500, 74.8086868895, 95.4410805042, 95.0086621915
35.0000000000, 500, 500, 82.2895555785, 103.2936637678, 102.9366249590
35.0000000000, 500, 500, 90.5185111364, 111.9600211551, 111.6573840033
35.0000000000, 500, 500, 99.5703622500, 121.5125218623, 121.2502189520
35.0000000000, 500, 500, 109.5273984750, 132.0305190795, 131.8023373955
35.0000000000, 500, 500, 120.4801383225, 143.5994016051, 143.4096676835
35.0000000000, 500, 500, 132.5281521547, 156.3076108936, 156.1777310002
