F,S,V,VtoINF
35.0000000000, 2.0000000000, 34.3798390985, 11.0181047438
35.0000000000, 2.2000000000, 34.3796661996, 11.3188803665
35.0000000000, 2.4200000000, 34.3794760107, 11.6497335514
35.0000000000, 2.6620000000, 34.3795005939, 12.0136720548
35.0000000000, 2.9282000000, 34.3796546329, 12.4140044086
35.0000000000, 3.2210200000, 34.3798296590, 12.8543699977
35.0000000000, 3.5431220000, 34.3800610942, 13.3387721458
35.0000000000, 3.8974342000, 34.3805783532, 13.8716145086
35.0000000000, 4.2871776200, 34.3815812641, 14.4577411078
35.0000000000, 4.7158953820, 34.3834153759, 15.1024803668
35.0000000000, 5.1874849202, 34.3868146138, 15.8116935518
35.0000000000, 5.7062334122, 34.3931117142, 16.5918280553
35.0000000000, 6.2768567534, 34.4045465370, 17.4499760091
35.0000000000, 6.9045424288, 34.4246106105, 18.3939387582
35.0000000000, 7.5949966717, 34.4601511236, 19.4322977824
35.0000000000, 8.3544963388, 34.5207863668, 20.5744927089
35.0000000000, 9.1899459727, 34.6209145248, 21.8309071280
35.0000000000, 10.1089405700, 34.7803687645, 23.2129629891
35.0000000000, 11.1198346270, 35.0287187818, 24.7332244363
35.0000000000, 12.2318180897, 35.4021482237, 26.4055120282
35.0000000000, 13.4549998987, 35.9411698721, 28.2450283793
35.0000000000, 14.8004998885, 36.7024143640, 30.2684963655
35.0000000000, 16.2805498774, 37.7337010290, 32.4943111504
35.0000000000, 17.9086048651, 39.0891422606, 34.9427074137
35.0000000000, 19.6994653516, 40.8208369060, 37.6359433034
35.0000000000, 21.6694118868, 42.9680191182, 40.5985027820
35.0000000000, 23.8363530755, 45.5648776335, 43.8573182084
35.0000000000, 26.2199883830, 48.6357571415, 47.4420151776
35.0000000000, 28.8419872213, 52.1982357819, 51.3851818436
35.0000000000, 31.7261859434, 56.2674147582, 55.7226651763
35.0000000000, 34.8988045378, 60.8587471581, 60.4938968422
35.0000000000, 38.3886849916, 65.9928163499, 65.7422516747
35.0000000000, 42.2275534907, 71.6971810524, 71.5154419904
35.0000000000, 46.4503088398, 78.0084225866, 77.8659513377
35.0000000000, 51.0953397238, 84.9728552697, 84.8515116198
35.0000000000, 56.2048736961, 92.6462238486, 92.5356279300
35.0000000000, 61.8253610657, 101.0935925458, 100.9881558713
35.0000000000, 68.0078971723, 110.3890402859, 110.2859366067
35.0000000000, 74.8086868895, 120.6156098155, 120.5134954157
35.0000000000, 82.2895555785, 131.8655365213, 131.7638101055
35.0000000000, 90.5185111364, 144.2407600417, 144.1391562644
35.0000000000, 99.5703622500, 157.8536553848, 157.7520370391
35.0000000000, 109.5273984750, 172.8279605852, 172.7262058913
35.0000000000, 120.4801383225, 189.2998646822, 189.1977916287
35.0000000000, 132.5281521547, 207.4192335723, 207.3165359398
35.0000000000, 145.7809673702, 227.3509543546, 227.2471546821
35.0000000000, 160.3590641072, 249.2763698477, 249.1708352986
35.0000000000, 176.3949705179, 273.3947650629, 273.2868839767
35.0000000000, 194.0344675697, 299.9248615596, 299.8145375227
35.0000000000, 213.4379143267, 329.1063018048, 328.9949564232
35.0000000000, 234.7817057594, 361.2011790122, 361.0934172138
