F,S0,I,V
25, 17.38, 10, 40.1208
25, 17.38, 20, 40.1222
25, 17.38, 30, 40.1219
25, 17.38, 40, 40.1219
25, 17.38, 50, 40.1219
25, 17.38, 60, 40.1219
25, 17.38, 70, 40.1219
25, 17.38, 80, 40.122
25, 17.38, 90, 40.122
25, 17.38, 100, 40.122
25, 17.38, 110, 40.122
25, 17.38, 120, 40.122
25, 17.38, 130, 40.122
25, 17.38, 140, 40.122
25, 17.38, 150, 40.122
25, 17.38, 160, 40.122
25, 17.38, 170, 40.1221
25, 17.38, 180, 40.1221
25, 17.38, 190, 40.1221
25, 17.38, 200, 40.1221
25, 17.38, 210, 40.1221
25, 17.38, 220, 40.1221
25, 17.38, 230, 40.1221
25, 17.38, 240, 40.1221
25, 17.38, 250, 40.1221
25, 17.38, 260, 40.1221
25, 17.38, 270, 40.1221
25, 17.38, 280, 40.1221
25, 17.38, 290, 40.1221
25, 17.38, 300, 40.1221
25, 17.38, 310, 40.1221
25, 17.38, 320, 40.1221
25, 17.38, 330, 40.1221
25, 17.38, 340, 40.1221
25, 17.38, 350, 40.1221
25, 17.38, 360, 40.1221
25, 17.38, 370, 40.1221
25, 17.38, 380, 40.1221
25, 17.38, 390, 40.1221
25, 17.38, 400, 40.1221
25, 17.38, 410, 40.1221
25, 17.38, 420, 40.1221
25, 17.38, 430, 40.1221
25, 17.38, 440, 40.1221
25, 17.38, 450, 40.1221
25, 17.38, 460, 40.1221
25, 17.38, 470, 40.1221
25, 17.38, 480, 40.1221
25, 17.38, 490, 40.1221
25, 17.38, 500, 40.1221
25, 17.38, 510, 40.1221
25, 17.38, 520, 40.1221
25, 17.38, 530, 40.1221
25, 17.38, 540, 40.1221
25, 17.38, 550, 40.1221
25, 17.38, 560, 40.1221
25, 17.38, 570, 40.1221
25, 17.38, 580, 40.1221
25, 17.38, 590, 40.1221
25, 17.38, 600, 40.1221
25, 17.38, 610, 40.1221
25, 17.38, 620, 40.1221
25, 17.38, 630, 40.1221
25, 17.38, 640, 40.1221
25, 17.38, 650, 40.1221
25, 17.38, 660, 40.1221
25, 17.38, 670, 40.1221
25, 17.38, 680, 40.1221
25, 17.38, 690, 40.1221
25, 17.38, 700, 40.1221
25, 17.38, 710, 40.1221
25, 17.38, 720, 40.1221
25, 17.38, 730, 40.1221
25, 17.38, 740, 40.1221
25, 17.38, 750, 40.1221
25, 17.38, 760, 40.1221
25, 17.38, 770, 40.1221
25, 17.38, 780, 40.1221
25, 17.38, 790, 40.1221
25, 17.38, 800, 40.1221
25, 17.38, 810, 40.1221
25, 17.38, 820, 40.1221
25, 17.38, 830, 40.1221
25, 17.38, 840, 40.1221
25, 17.38, 850, 40.1221
25, 17.38, 860, 40.1221
25, 17.38, 870, 40.1221
25, 17.38, 880, 40.1221
25, 17.38, 890, 40.1221
25, 17.38, 900, 40.1221
25, 17.38, 910, 40.1221
25, 17.38, 920, 40.1221
25, 17.38, 930, 40.1221
25, 17.38, 940, 40.1221
25, 17.38, 950, 40.1221
25, 17.38, 960, 40.1221
25, 17.38, 970, 40.1221
25, 17.38, 980, 40.1221
25, 17.38, 990, 40.1221
25, 17.38, 1000, 40.1221
