F,I,J,S,V,VtoInf
35.0000000000, 5, 5, 17.3800000000, 42.0831902068, 34.1477501265
35.0000000000, 10, 10, 17.3800000000, 42.4471519686, 34.1477501265
35.0000000000, 20, 20, 17.3800000000, 42.0637696118, 34.1477501265
35.0000000000, 40, 40, 17.3800000000, 42.0585773878, 34.1477501265
35.0000000000, 80, 80, 17.3800000000, 42.0529875594, 34.1477501265
35.0000000000, 160, 160, 17.3800000000, 42.0487881854, 34.1477501265
35.0000000000, 320, 320, 17.3800000000, 42.0496714510, 34.1477501265
35.0000000000, 640, 640, 17.3800000000, 42.0496203208, 34.1477501265
35.0000000000, 1280, 1280, 17.3800000000, 42.0495543414, 34.1477501265
35.0000000000, 2560, 2560, 17.3800000000, 42.0495618924, 34.1477501265
35.0000000000, 5120, 5120, 17.3800000000, 42.0495574281, 34.1477501265
35.0000000000, 10240, 10240, 17.3800000000, 42.0495572554, 34.1477501265
