F,S0,J,V
25, 17.38, 50, 40.371
25, 17.38, 100, 40.2697
25, 17.38, 150, 40.1565
25, 17.38, 200, 40.0922
25, 17.38, 250, 40.1315
25, 17.38, 300, 40.1335
25, 17.38, 350, 40.1227
25, 17.38, 400, 40.1107
25, 17.38, 450, 40.121
25, 17.38, 500, 40.1222
25, 17.38, 550, 40.1184
25, 17.38, 600, 40.1138
25, 17.38, 650, 40.1184
25, 17.38, 700, 40.119
25, 17.38, 750, 40.117
25, 17.38, 800, 40.1149
25, 17.38, 850, 40.1174
25, 17.38, 900, 40.1177
25, 17.38, 950, 40.1165
25, 17.38, 1000, 40.1153
25, 17.38, 1050, 40.1169
25, 17.38, 1100, 40.1171
25, 17.38, 1150, 40.1163
25, 17.38, 1200, 40.1155
25, 17.38, 1250, 40.1166
25, 17.38, 1300, 40.1167
25, 17.38, 1350, 40.1163
25, 17.38, 1400, 40.1157
25, 17.38, 1450, 40.1164
25, 17.38, 1500, 40.1165
25, 17.38, 1550, 40.1162
25, 17.38, 1600, 40.1157
25, 17.38, 1650, 40.1163
25, 17.38, 1700, 40.1163
25, 17.38, 1750, 40.1162
25, 17.38, 1800, 40.1158
25, 17.38, 1850, 40.1162
25, 17.38, 1900, 40.1162
25, 17.38, 1950, 40.1161
25, 17.38, 2000, 40.1158
25, 17.38, 2050, 40.1161
25, 17.38, 2100, 40.1161
25, 17.38, 2150, 40.1161
25, 17.38, 2200, 40.1158
25, 17.38, 2250, 40.1161
25, 17.38, 2300, 40.1161
25, 17.38, 2350, 40.1161
25, 17.38, 2400, 40.1158
25, 17.38, 2450, 40.116
25, 17.38, 2500, 40.1161
25, 17.38, 2550, 40.1161
25, 17.38, 2600, 40.1158
25, 17.38, 2650, 40.116
25, 17.38, 2700, 40.1161
25, 17.38, 2750, 40.1161
25, 17.38, 2800, 40.1158
25, 17.38, 2850, 40.116
25, 17.38, 2900, 40.1161
25, 17.38, 2950, 40.116
25, 17.38, 3000, 40.1159
25, 17.38, 3050, 40.116
25, 17.38, 3100, 40.1161
