F,S,V,VtoINF
25, 2, 33.6376, 32.6691
25, 2.2, 33.6554, 32.6883
25, 2.42, 33.6749, 32.7095
25, 2.662, 33.6964, 32.7328
25, 2.9282, 33.7201, 32.7584
25, 3.22102, 33.7461, 32.7865
25, 3.54312, 33.7748, 32.8175
25, 3.89743, 33.8063, 32.8515
25, 4.28718, 33.841, 32.889
25, 4.7159, 33.8792, 32.9302
25, 5.18748, 33.9212, 32.9756
25, 5.70623, 33.9675, 33.0254
25, 6.27686, 34.0185, 33.0803
25, 6.90454, 34.0746, 33.1406
25, 7.595, 34.1364, 33.207
25, 8.3545, 34.2044, 33.28
25, 9.18995, 34.2793, 33.3604
25, 10.1089, 34.3618, 33.4487
25, 11.1198, 34.4526, 33.5459
25, 12.2318, 34.5527, 33.6528
25, 13.455, 34.6629, 33.7704
25, 14.8005, 34.7844, 33.8998
25, 16.2805, 34.9182, 34.042
25, 17.9086, 35.0656, 34.1986
25, 19.6995, 35.2281, 34.3707
25, 21.6694, 35.4071, 34.5601
25, 23.8364, 35.6043, 34.7685
25, 26.22, 35.8214, 34.9976
25, 28.842, 36.0602, 35.2497
25, 31.7262, 36.3222, 35.527
25, 34.8988, 36.6073, 35.832
25, 38.3887, 36.9107, 36.1675
25, 42.2276, 37.2095, 36.5366
25, 46.4503, 37.4111, 36.9426
