F,I,J,S,V,VtoINF
35.0000000000, 200, 200, 2.0000000000, 37.9999999976, 11.0181047438
35.0000000000, 200, 200, 2.1000000000, 37.9999999976, 11.1684925551
35.0000000000, 200, 200, 2.2050000000, 37.9999999976, 11.3263997570
35.0000000000, 200, 200, 2.3152500000, 37.9999999976, 11.4922023190
35.0000000000, 200, 200, 2.4310125000, 37.9999999976, 11.6662950091
35.0000000000, 200, 200, 2.5525631250, 37.9999999976, 11.8490923337
35.0000000000, 200, 200, 2.6801912813, 37.9999999976, 12.0410295245
35.0000000000, 200, 200, 2.8142008453, 37.9999999976, 12.2425635749
35.0000000000, 200, 200, 2.9549108876, 37.9999999976, 12.4541743278
35.0000000000, 200, 200, 3.1026564320, 37.9999999976, 12.6763656183
35.0000000000, 200, 200, 3.2577892536, 37.9999999976, 12.9096664734
35.0000000000, 200, 200, 3.4206787162, 37.9999999976, 13.1546323712
35.0000000000, 200, 200, 3.5917126520, 37.9999999976, 13.4118465639
35.0000000000, 200, 200, 3.7712982846, 37.9999999976, 13.6819214662
35.0000000000, 200, 200, 3.9598631989, 37.9999999976, 13.9655001137
35.0000000000, 200, 200, 4.1578563588, 37.9999999976, 14.2632576935
35.0000000000, 200, 200, 4.3657491768, 37.9999999976, 14.5759031523
35.0000000000, 200, 200, 4.5840366356, 37.9999999977, 14.9041808841
35.0000000000, 200, 200, 4.8132384674, 37.9999999979, 15.2488725024
35.0000000000, 200, 200, 5.0539003908, 37.9999999980, 15.6107987017
35.0000000000, 200, 200, 5.3065954103, 37.9999999982, 15.9908212109
35.0000000000, 200, 200, 5.5719251808, 37.9999999985, 16.3898448456
35.0000000000, 200, 200, 5.8505214398, 37.9999999987, 16.8088196620
35.0000000000, 200, 200, 6.1430475118, 38.0057022989, 17.2487432192
35.0000000000, 200, 200, 6.4501998874, 38.0179463078, 17.7106629544
35.0000000000, 200, 200, 6.7727098818, 38.0308025172, 18.1956786762
35.0000000000, 200, 200, 7.1113453759, 38.0443015370, 18.7049451842
35.0000000000, 200, 200, 7.4669126447, 38.0584755078, 19.2396750175
35.0000000000, 200, 200, 7.8402582769, 38.1098358558, 19.8011413425
35.0000000000, 200, 200, 8.2322711908, 38.1674887372, 20.3906809838
35.0000000000, 200, 200, 8.6438847503, 38.2280242626, 21.0096976071
35.0000000000, 200, 200, 9.0760789878, 38.3010832006, 21.6596650616
35.0000000000, 200, 200, 9.5298829372, 38.4244701524, 22.3421308888
35.0000000000, 200, 200, 10.0063770841, 38.5540264518, 23.0587200074
35.0000000000, 200, 200, 10.5066959383, 38.6909852501, 23.8111385819
35.0000000000, 200, 200, 11.0320307352, 38.9063678371, 24.6011780852
35.0000000000, 200, 200, 11.5836322719, 39.1325195534, 25.4307195636
35.0000000000, 200, 200, 12.1628138855, 39.3932439833, 26.3017381159
35.0000000000, 200, 200, 12.7709545798, 39.7294759084, 27.2163075958
35.0000000000, 200, 200, 13.4095023088, 40.0825194298, 28.1766055498
35.0000000000, 200, 200, 14.0799774242, 40.5346804172, 29.1849184014
35.0000000000, 200, 200, 14.7839762955, 41.0227965970, 30.2436468956
35.0000000000, 200, 200, 15.5231751102, 41.6051850748, 31.3553118145
35.0000000000, 200, 200, 16.2993338657, 42.2469839028, 32.5225599794
35.0000000000, 200, 200, 17.1143005590, 42.9974213415, 33.7481705525
35.0000000000, 200, 200, 17.9700155870, 43.8116361416, 35.0350616543
35.0000000000, 200, 200, 18.8685163663, 44.7667741728, 36.3862973111
35.0000000000, 200, 200, 19.8119421847, 45.8066339794, 37.8050947508
35.0000000000, 200, 200, 20.8025392939, 46.9693369662, 39.2948320625
