F,I,J,S,V,VtoINF
35.0000000000, 300, 300, 2.0000000000, 37.9999999998, 11.2078883641
35.0000000000, 300, 300, 2.2000000000, 37.9999999998, 11.5139891909
35.0000000000, 300, 300, 2.4200000000, 37.9999999998, 11.8507001004
35.0000000000, 300, 300, 2.6620000000, 37.9999999999, 12.2210821009
35.0000000000, 300, 300, 2.9282000000, 37.9999999999, 12.6285023014
35.0000000000, 300, 300, 3.2210200000, 38.0005255023, 13.0766645219
35.0000000000, 300, 300, 3.5431220000, 38.0012913396, 13.5696429645
35.0000000000, 300, 300, 3.8974342000, 38.0021337607, 14.1119192514
35.0000000000, 300, 300, 4.2871776200, 38.0075533000, 14.7084231670
35.0000000000, 300, 300, 4.7158953820, 38.0152798925, 15.3645774741
35.0000000000, 300, 300, 5.1874849202, 38.0288710799, 16.0863472119
35.0000000000, 300, 300, 5.7062334122, 38.0523090378, 16.8802939235
35.0000000000, 300, 300, 6.2768567534, 38.0897109541, 17.7536353063
35.0000000000, 300, 300, 6.9045424288, 38.1444159496, 18.7143108273
35.0000000000, 300, 300, 7.5949966717, 38.2385984347, 19.7710539005
35.0000000000, 300, 300, 8.3544963388, 38.3732215655, 20.9334712810
35.0000000000, 300, 300, 9.1899459727, 38.5681269456, 22.2121303995
35.0000000000, 300, 300, 10.1089405700, 38.8495647273, 23.6186554298
35.0000000000, 300, 300, 11.1198346270, 39.2483273269, 25.1658329632
35.0000000000, 300, 300, 12.2318180897, 39.7978319515, 26.8677282500
35.0000000000, 300, 300, 13.4549998987, 40.5327203162, 28.7398130654
35.0000000000, 300, 300, 14.8004998885, 41.4881597200, 30.7991063623
35.0000000000, 300, 300, 16.2805498774, 42.7222871662, 33.0643289890
35.0000000000, 300, 300, 17.9086048651, 44.2732090681, 35.5560738783
35.0000000000, 300, 300, 19.6994653516, 46.2093535399, 38.2969932565
35.0000000000, 300, 300, 21.6694118868, 48.5774316901, 41.3120045726
35.0000000000, 300, 300, 23.8363530755, 51.4472461470, 44.6285170203
35.0000000000, 300, 300, 26.2199883830, 54.9047852904, 48.2766807127
35.0000000000, 300, 300, 28.8419872213, 59.0410505685, 52.2896607744
35.0000000000, 300, 300, 31.7261859434, 63.9777790807, 56.7039388423
35.0000000000, 300, 300, 34.8988045378, 69.8533976168, 61.5596447169
35.0000000000, 300, 300, 38.3886849916, 76.7773699458, 66.9009211791
35.0000000000, 300, 300, 42.2275534907, 84.4551069373, 72.7763252874
35.0000000000, 300, 300, 46.4503088398, 92.9006176279, 79.2392698065
35.0000000000, 300, 300, 51.0953397238, 102.1906793875, 86.3485087776
35.0000000000, 300, 300, 56.2048736961, 112.4097473232, 94.1686716458
35.0000000000, 300, 300, 61.8253610657, 123.6507220524, 102.7708508008
35.0000000000, 300, 300, 68.0078971723, 136.0157942545, 112.2332478713
35.0000000000, 300, 300, 74.8086868895, 149.6173736768, 122.6418846488
35.0000000000, 300, 300, 82.2895555785, 164.5791110414, 134.0913851041
35.0000000000, 300, 300, 90.5185111364, 181.0370221424, 146.6858356049
35.0000000000, 300, 300, 99.5703622500, 199.1407243535, 160.5397311559
35.0000000000, 300, 300, 109.5273984750, 219.0547967858, 175.7790162619
35.0000000000, 300, 300, 120.4801383225, 240.9602764612, 192.5422298785
35.0000000000, 300, 300, 132.5281521547, 265.0563041043, 210.9817648567
35.0000000000, 300, 300, 145.7809673702, 291.5619345116, 231.2652533328
35.0000000000, 300, 300, 160.3590641072, 320.7181279596, 253.5770906565
35.0000000000, 300, 300, 176.3949705179, 352.7899407524, 278.1201117126
35.0000000000, 300, 300, 194.0344675697, 388.0689348246, 305.1174348742
