F,I,J,S,V,VtoInf
35.0000000000, 4, 2, 17.3800000000, 59.6974999676, 34.1477501265
35.0000000000, 8, 4, 17.3800000000, 45.1506250123, 34.1477501265
35.0000000000, 16, 8, 17.3800000000, 40.6948713688, 34.1477501265
35.0000000000, 32, 16, 17.3800000000, 42.7226081927, 34.1477501265
35.0000000000, 64, 32, 17.3800000000, 43.0434549632, 34.1477501265
35.0000000000, 128, 64, 17.3800000000, 43.1882196854, 34.1477501265
35.0000000000, 256, 128, 17.3800000000, 43.2219325263, 34.1477501265
35.0000000000, 512, 256, 17.3800000000, 42.2974574967, 34.1477501265
35.0000000000, 1024, 512, 17.3800000000, 35.0000000000, 34.1477501265
35.0000000000, 2048, 1024, 17.3800000000, 35.0000000000, 34.1477501265
35.0000000000, 4096, 2048, 17.3800000000, 35.0000000000, 34.1477501265
35.0000000000, 8192, 4096, 17.3800000000, 35.0000000000, 34.1477501265
35.0000000000, 16384, 8192, 17.3800000000, 35.0000000000, 34.1477501265
35.0000000000, 32768, 16384, 17.3800000000, 35.0000000000, 34.1477501265
