S,V
2, 24.9995
2.2, 24.9995
2.42, 24.9995
2.662, 24.9995
2.9282, 24.9995
3.22102, 24.9995
3.54312, 24.9995
3.89743, 24.9995
4.28718, 24.9995
4.7159, 24.9995
5.18748, 24.9995
5.70623, 24.9995
6.27686, 24.9995
6.90454, 24.9995
7.595, 24.9995
8.3545, 24.9995
9.18995, 24.9996
10.1089, 25.0011
11.1198, 25.0272
12.2318, 25.3928
13.455, 27.0137
14.8005, 29.6071
16.2805, 32.5614
17.9086, 35.8156
19.6995, 39.3952
21.6694, 43.3329
23.8364, 47.6643
26.22, 52.4288
28.842, 57.6699
31.7262, 63.435
34.8988, 69.7766
38.3887, 76.7524
42.2276, 84.4257
46.4503, 92.8664
51.0953, 102.151
56.2049, 112.364
61.8254, 123.599
68.0079, 135.957
74.8087, 149.551
82.2896, 164.504
90.5185, 180.953
99.5704, 199.046
109.527, 218.949
120.48, 240.842
132.528, 264.924
145.781, 291.414
160.359, 320.554
176.395, 352.608
194.034, 387.866
